,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Direction
5922,GO:0048170,0.008232559,0.999753902,2,5,positive regulation of long-term neuronal synaptic plasticity,BP,Up
6173,GO:0050672,0.008367328,0.999782138,2,4,negative regulation of lymphocyte proliferation,BP,Up
5406,GO:0045579,0.008530151,0.999276754,3,13,positive regulation of B cell differentiation,BP,Up
7851,GO:0071364,0.008548223,0.998431727,5,38,cellular response to epidermal growth factor stimulus,BP,Up
8088,GO:0072112,0.008628131,0.999735663,2,5,glomerular visceral epithelial cell differentiation,BP,Up
3594,GO:0032331,0.008790074,0.999246444,3,13,negative regulation of chondrocyte differentiation,BP,Up
1383,GO:0006855,0.009233831,0.999706865,2,5,drug transmembrane transport,BP,Up
1782,GO:0008354,0.009260915,0.999705553,2,5,germ cell migration,BP,Up
2949,GO:0021680,0.009383169,0.999164569,3,14,cerebellar Purkinje cell layer development,BP,Up
6851,GO:0060252,0.009626428,0.999134787,3,14,positive regulation of glial cell proliferation,BP,Up
808,GO:0003281,0.009873747,0.998569242,4,27,ventricular septum development,BP,Up
5634,GO:0046055,0.009897485,0.999674135,2,5,dGMP catabolic process,BP,Up
22,GO:0000082,0.009965543,0.997697509,6,55,G1/S transition of mitotic cell cycle,BP,Up
981,GO:0006196,0.010117597,0.999663014,2,5,AMP catabolic process,BP,Up
2756,GO:0019221,0.010235618,0.997268825,7,71,cytokine-mediated signaling pathway,BP,Up
6342,GO:0051054,0.010256894,0.999655909,2,5,positive regulation of DNA metabolic process,BP,Up
4652,GO:0038092,0.010407947,0.999648145,2,5,nodal signaling pathway,BP,Up
7795,GO:0071229,0.010720006,0.999631915,2,5,cellular response to acid chemical,BP,Up
7789,GO:0071222,0.010725777,0.996789225,8,88,cellular response to lipopolysaccharide,BP,Up
9968,GO:1904141,0.010818759,0.999626726,2,5,positive regulation of microglial cell migration,BP,Up
5270,GO:0044648,0.010916243,0.999621578,2,5,histone H3-K4 dimethylation,BP,Up
7119,GO:0060742,0.010939966,0.999620321,2,5,epithelial cell differentiation involved in prostate gland development,BP,Up
9650,GO:1903078,0.011016015,0.997833175,5,42,positive regulation of protein localization to plasma membrane,BP,Up
10863,GO:2000646,0.011072943,0.999613251,2,5,positive regulation of receptor catabolic process,BP,Up
5427,GO:0045606,0.01126128,0.99960316,2,5,positive regulation of epidermal cell differentiation,BP,Up
6383,GO:0051149,0.011434807,0.999593781,2,5,positive regulation of muscle cell differentiation,BP,Up
8151,GO:0072344,0.011543659,0.999587859,2,5,rescue of stalled ribosome,BP,Up
5507,GO:0045766,0.011585562,0.996478044,8,92,positive regulation of angiogenesis,BP,Up
3300,GO:0030879,0.011796642,0.998199079,4,27,mammary gland development,BP,Up
9204,GO:1901164,0.011917148,0.999567311,2,5,negative regulation of trophoblast cell migration,BP,Up
4956,GO:0042981,0.011999515,0.995479958,11,147,regulation of apoptotic process,BP,Up
3473,GO:0031665,0.012063165,0.999559182,2,5,negative regulation of lipopolysaccharide-mediated signaling pathway,BP,Up
2268,GO:0010917,0.012292758,0.998790373,3,14,negative regulation of mitochondrial membrane potential,BP,Up
5822,GO:0046827,0.012329132,0.998771326,3,15,positive regulation of protein export from nucleus,BP,Up
7932,GO:0071549,0.012614783,0.998732096,3,15,cellular response to dexamethasone stimulus,BP,Up
3286,GO:0030850,0.012719703,0.999521979,2,5,prostate gland development,BP,Up
1190,GO:0006541,0.012771486,0.99871043,3,15,glutamine metabolic process,BP,Up
2108,GO:0010629,0.012795999,0.994470631,14,214,negative regulation of gene expression,BP,Up
3216,GO:0030325,0.012908543,0.998678381,3,16,adrenal gland development,BP,Up
1723,GO:0007631,0.012972589,0.998682474,3,15,feeding behavior,BP,Up
2982,GO:0021782,0.013023642,0.999504399,2,5,glial cell development,BP,Up
9081,GO:1900122,0.013139816,0.99945457,2,6,positive regulation of receptor binding,BP,Up
3292,GO:0030856,0.013214433,0.999449829,2,6,regulation of epithelial cell differentiation,BP,Up
246,GO:0001763,0.013297991,0.999444502,2,6,morphogenesis of a branching structure,BP,Up
9490,GO:1902512,0.013306986,0.999487809,2,5,positive regulation of apoptotic DNA fragmentation,BP,Up
7973,GO:0071677,0.013451936,0.999479248,2,5,positive regulation of mononuclear cell migration,BP,Up
5626,GO:0046038,0.014604301,0.999358914,2,6,GMP catabolic process,BP,Up
5493,GO:0045740,0.014808874,0.997573366,4,28,positive regulation of DNA replication,BP,Up
4176,GO:0034614,0.014889287,0.997548461,4,29,cellular response to reactive oxygen species,BP,Up
4235,GO:0035066,0.015050006,0.998368179,3,16,positive regulation of histone acetylation,BP,Up
2820,GO:0019530,0.015360374,0.999307428,2,6,taurine metabolic process,BP,Up
346,GO:0001955,0.015393509,0.999305139,2,6,blood vessel maturation,BP,Up
8208,GO:0072675,0.015397302,0.999304877,2,6,osteoclast fusion,BP,Up
6112,GO:0048771,0.015870037,0.999271933,2,6,tissue remodeling,BP,Up
5326,GO:0045063,0.016061276,0.999258453,2,6,T-helper 1 cell differentiation,BP,Up
9649,GO:1903077,0.016453106,0.998139554,3,17,negative regulation of protein localization to plasma membrane,BP,Up
5805,GO:0046716,0.016529034,0.998127729,3,17,muscle cell cellular homeostasis,BP,Up
1767,GO:0008285,0.016814648,0.992020782,16,266,negative regulation of cell population proliferation,BP,Up
6222,GO:0050804,0.016956635,0.995539886,6,73,modulation of chemical synaptic transmission,BP,Up
9575,GO:1902895,0.017050703,0.997067953,4,30,positive regulation of pri-miRNA transcription by RNA polymerase II,BP,Up
7811,GO:0071281,0.017050941,0.999187307,2,6,cellular response to iron ion,BP,Up
7910,GO:0071492,0.017152958,0.999179842,2,6,cellular response to UV-A,BP,Up
10644,GO:2000144,0.017362457,0.999164436,2,6,"positive regulation of DNA-templated transcription, initiation",BP,Up
9066,GO:1900087,0.017377288,0.996994737,4,30,positive regulation of G1/S transition of mitotic cell cycle,BP,Up
161,GO:0001503,0.017556566,0.995380126,6,62,ossification,BP,Up
5124,GO:0043536,0.017619184,0.996931905,4,31,positive regulation of blood vessel endothelial cell migration,BP,Up
5850,GO:0046888,0.017663637,0.999142111,2,6,negative regulation of hormone secretion,BP,Up
7507,GO:0070168,0.017938274,0.999121572,2,6,negative regulation of biomineral tissue development,BP,Up
1066,GO:0006355,0.018252395,0.988994741,32,644,"regulation of transcription, DNA-templated",BP,Up
5332,GO:0045087,0.018263248,0.991255752,16,256,innate immune response,BP,Up
7500,GO:0070131,0.018314419,0.997861845,3,16,positive regulation of mitochondrial translation,BP,Up
3163,GO:0030198,0.018550944,0.993833877,8,105,extracellular matrix organization,BP,Up
132,GO:0000902,0.018840757,0.994942069,6,68,cell morphogenesis,BP,Up
1657,GO:0007413,0.018871852,0.997736025,3,18,axonal fasciculation,BP,Up
1556,GO:0007173,0.019183903,0.99655604,4,33,epidermal growth factor receptor signaling pathway,BP,Up
292,GO:0001837,0.019219298,0.996564543,4,31,epithelial to mesenchymal transition,BP,Up
1478,GO:0007017,0.019557906,0.996505183,4,29,microtubule-based process,BP,Up
10760,GO:2000391,0.019708349,0.998930301,2,7,positive regulation of neutrophil extravasation,BP,Up
8668,GO:0097692,0.019811735,0.99892168,2,7,histone H3-K4 monomethylation,BP,Up
2148,GO:0010718,0.020470832,0.996260988,4,32,positive regulation of epithelial to mesenchymal transition,BP,Up
5460,GO:0045662,0.020515279,0.997478361,3,17,negative regulation of myoblast differentiation,BP,Up
1591,GO:0007218,0.020628098,0.995227354,5,45,neuropeptide signaling pathway,BP,Up
3757,GO:0032736,0.020741394,0.998843054,2,7,positive regulation of interleukin-13 production,BP,Up
3390,GO:0031293,0.020925355,0.998827263,2,7,membrane protein intracellular domain proteolysis,BP,Up
8252,GO:0080182,0.021086284,0.997361623,3,18,histone H3-K4 trimethylation,BP,Up
2680,GO:0018108,0.021315468,0.994991041,5,51,peptidyl-tyrosine phosphorylation,BP,Up
7428,GO:0061844,0.021428513,0.996063365,4,29,antimicrobial humoral immune response mediated by antimicrobial peptide,BP,Up
6910,GO:0060346,0.021480754,0.998779125,2,7,bone trabecula formation,BP,Up
8186,GO:0072574,0.021488597,0.99877844,2,7,hepatocyte proliferation,BP,Up
5513,GO:0045780,0.023572749,0.996902421,3,19,positive regulation of bone resorption,BP,Up
5352,GO:0045165,0.023635996,0.99547939,4,33,cell fate commitment,BP,Up
8197,GO:0072655,0.023677057,0.99858209,2,7,establishment of protein localization to mitochondrion,BP,Up
7562,GO:0070301,0.023828695,0.994256265,5,48,cellular response to hydrogen peroxide,BP,Up
3186,GO:0030225,0.023844157,0.99851322,2,8,macrophage differentiation,BP,Up
760,GO:0003180,0.023878746,0.998509904,2,8,aortic valve morphogenesis,BP,Up
2289,GO:0010960,0.024220381,0.998477006,2,8,magnesium ion homeostasis,BP,Up
291,GO:0001836,0.024629581,0.996729882,3,18,release of cytochrome c from mitochondria,BP,Up
1622,GO:0007275,0.024747735,0.984952435,30,626,multicellular organism development,BP,Up
8335,GO:0090091,0.025139967,0.998387182,2,8,positive regulation of extracellular matrix disassembly,BP,Up
6386,GO:0051152,0.025192374,0.998382007,2,8,positive regulation of smooth muscle cell differentiation,BP,Up
312,GO:0001892,0.025216654,0.996580206,3,20,embryonic placenta development,BP,Up
409,GO:0002066,0.025348104,1,1,1,columnar/cuboidal epithelial cell development,BP,Up
6731,GO:0060009,0.025689063,0.998332671,2,8,Sertoli cell development,BP,Up
5296,GO:0044849,0.026825184,0.998217832,2,8,estrous cycle,BP,Up
1666,GO:0007492,0.026960938,0.996229279,3,21,endoderm development,BP,Up
5103,GO:0043473,0.027018261,0.994593511,4,35,pigmentation,BP,Up
544,GO:0002474,0.027020317,0.998262394,2,7,antigen processing and presentation of peptide antigen via MHC class I,BP,Up
8849,GO:0099557,0.027154673,1,1,1,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission",BP,Up
8880,GO:0106028,0.027154673,1,1,1,neuron projection retraction,BP,Up
1710,GO:0007613,0.027218859,0.992035569,6,73,memory,BP,Up
759,GO:0003179,0.02727312,0.998171803,2,8,heart valve morphogenesis,BP,Up
2049,GO:0010466,0.027346059,0.993152722,5,50,negative regulation of peptidase activity,BP,Up
678,GO:0002881,0.027588644,1,1,1,negative regulation of chronic inflammatory response to non-antigenic stimulus,BP,Up
9010,GO:0150090,0.027588644,1,1,1,"multiple spine synapse organization, single dendrite",BP,Up
10279,GO:1905208,0.027603073,1,1,1,negative regulation of cardiocyte differentiation,BP,Up
10459,GO:1990000,0.027678748,0.998129757,2,8,amyloid fibril formation,BP,Up
36,GO:0000185,0.027684379,0.998129171,2,8,activation of MAPKKK activity,BP,Up
1610,GO:0007259,0.027748958,0.996095706,3,20,receptor signaling pathway via JAK-STAT,BP,Up
1465,GO:0006997,0.027970048,0.996074929,3,19,nucleus organization,BP,Up
3108,GO:0023061,0.028348564,1,1,1,signal release,BP,Up
4177,GO:0034616,0.028348564,1,1,1,response to laminar fluid shear stress,BP,Up
8007,GO:0071806,0.028348564,1,1,1,protein transmembrane transport,BP,Up
2934,GO:0021618,0.02838053,1,1,1,hypoglossal nerve morphogenesis,BP,Up
3052,GO:0021965,0.02838053,1,1,1,spinal cord ventral commissure morphogenesis,BP,Up
6179,GO:0050685,0.02838053,1,1,1,positive regulation of mRNA processing,BP,Up
6959,GO:0060415,0.02838053,1,1,1,muscle tissue morphogenesis,BP,Up
8896,GO:0106089,0.028460988,1,1,1,negative regulation of cell adhesion involved in sprouting angiogenesis,BP,Up
7097,GO:0060707,0.028493649,0.998044252,2,8,trophoblast giant cell differentiation,BP,Up
1422,GO:0006915,0.028624253,0.983418133,24,464,apoptotic process,BP,Up
3761,GO:0032743,0.028714079,0.995885376,3,21,positive regulation of interleukin-2 production,BP,Up
5464,GO:0045666,0.028748802,0.991481504,6,73,positive regulation of neuron differentiation,BP,Up
8473,GO:0090382,0.0288923,0.998001922,2,8,phagosome maturation,BP,Up
1655,GO:0007411,0.02898242,0.989491806,8,120,axon guidance,BP,Up
2566,GO:0016198,0.029109651,1,1,1,axon choice point recognition,BP,Up
2025,GO:0010286,0.029110318,1,1,1,heat acclimation,BP,Up
10874,GO:2000661,0.029110318,1,1,1,positive regulation of interleukin-1-mediated signaling pathway,BP,Up
9253,GO:1901383,0.029146463,1,1,1,negative regulation of chorionic trophoblast cell proliferation,BP,Up
5273,GO:0044727,0.029190088,1,1,1,DNA demethylation of male pronucleus,BP,Up
6877,GO:0060300,0.029196682,1,1,1,regulation of cytokine activity,BP,Up
3890,GO:0033082,0.029327318,1,1,1,regulation of extrathymic T cell differentiation,BP,Up
6376,GO:0051136,0.029327318,1,1,1,regulation of NK T cell differentiation,BP,Up
10545,GO:1990654,0.029327318,1,1,1,sebum secreting cell proliferation,BP,Up
6005,GO:0048523,0.029354292,1,1,1,negative regulation of cellular process,BP,Up
6827,GO:0060174,0.02936982,0.997950789,2,8,limb bud formation,BP,Up
1821,GO:0009056,0.029378034,1,1,1,catabolic process,BP,Up
1795,GO:0008584,0.029405742,0.992480212,5,52,male gonad development,BP,Up
424,GO:0002092,0.02945787,0.995717349,3,22,positive regulation of receptor internalization,BP,Up
4164,GO:0034504,0.029519939,0.993941324,4,34,protein localization to nucleus,BP,Up
5366,GO:0045204,0.029541548,1,1,1,MAPK export from nucleus,BP,Up
7454,GO:0062026,0.029541548,1,1,1,negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process,BP,Up
5589,GO:0045944,0.029642584,0.980895824,36,779,positive regulation of transcription by RNA polymerase II,BP,Up
1841,GO:0009114,0.029656891,1,1,1,hypoxanthine catabolic process,BP,Up
1842,GO:0009115,0.029656891,1,1,1,xanthine catabolic process,BP,Up
2581,GO:0016259,0.029722509,1,1,1,selenocysteine metabolic process,BP,Up
1002,GO:0006238,0.029762128,1,1,1,CMP salvage,BP,Up
5220,GO:0044206,0.029762128,1,1,1,UMP salvage,BP,Up
3416,GO:0031424,0.029961754,0.997886758,2,8,keratinization,BP,Up
5683,GO:0046296,0.029980787,1,1,1,glycolate catabolic process,BP,Up
5052,GO:0043312,0.030252304,1,1,1,neutrophil degranulation,BP,Up
3352,GO:0031099,0.030272574,1,1,1,regeneration,BP,Up
7285,GO:0061193,0.030272574,1,1,1,taste bud development,BP,Up
8805,GO:0099083,0.030272574,1,1,1,"retrograde trans-synaptic signaling by neuropeptide, modulating synaptic transmission",BP,Up
7735,GO:0070977,0.030384551,1,1,1,bone maturation,BP,Up
2439,GO:0015722,0.030490329,1,1,1,canalicular bile acid transport,BP,Up
5087,GO:0043405,0.030541418,0.997823366,2,8,regulation of MAP kinase activity,BP,Up
1546,GO:0007161,0.030701487,1,1,1,calcium-independent cell-matrix adhesion,BP,Up
3692,GO:0032594,0.030701487,1,1,1,protein transport within lipid bilayer,BP,Up
6651,GO:0051951,0.030701487,1,1,1,positive regulation of glutamate uptake involved in transmission of nerve impulse,BP,Up
9016,GO:0150103,0.030701487,1,1,1,reactive gliosis,BP,Up
9354,GO:1901979,0.030701487,1,1,1,regulation of inward rectifier potassium channel activity,BP,Up
7842,GO:0071348,0.030719504,1,1,1,cellular response to interleukin-11,BP,Up
8104,GO:0072166,0.030751656,1,1,1,posterior mesonephric tubule development,BP,Up
8134,GO:0072278,0.030751656,1,1,1,metanephric comma-shaped body morphogenesis,BP,Up
8136,GO:0072284,0.030751656,1,1,1,metanephric S-shaped body morphogenesis,BP,Up
8141,GO:0072302,0.030751656,1,1,1,negative regulation of metanephric glomerular mesangial cell proliferation,BP,Up
10673,GO:2000195,0.030751656,1,1,1,negative regulation of female gonad development,BP,Up
10986,GO:2001076,0.030751656,1,1,1,positive regulation of metanephric ureteric bud development,BP,Up
9440,GO:1902277,0.030821971,1,1,1,negative regulation of pancreatic amylase secretion,BP,Up
7117,GO:0060740,0.031257103,0.997682782,2,9,prostate gland epithelium morphogenesis,BP,Up
7227,GO:0061036,0.031383002,0.99766837,2,9,positive regulation of cartilage development,BP,Up
4925,GO:0042770,0.031425716,0.997663474,2,9,signal transduction in response to DNA damage,BP,Up
1732,GO:0008038,0.031455166,0.999749283,1,2,neuron recognition,BP,Up
3206,GO:0030307,0.031699464,0.990408494,6,70,positive regulation of cell growth,BP,Up
2987,GO:0021795,0.031727543,0.997579277,2,10,cerebral cortex cell migration,BP,Up
6235,GO:0050832,0.031964747,0.997664857,2,8,defense response to fungus,BP,Up
3287,GO:0030851,0.0320243,0.997594462,2,9,granulocyte differentiation,BP,Up
4702,GO:0040008,0.032359425,0.990161761,6,70,regulation of growth,BP,Up
6227,GO:0050810,0.032426749,0.997612541,2,8,regulation of steroid biosynthetic process,BP,Up
6,GO:0000027,0.032716093,0.995121079,3,19,ribosomal large subunit assembly,BP,Up
29,GO:0000117,0.032869233,1,1,1,regulation of transcription involved in G2/M transition of mitotic cell cycle,BP,Up
5452,GO:0045651,0.032936059,0.997487952,2,9,positive regulation of macrophage differentiation,BP,Up
7584,GO:0070371,0.033010599,0.995006868,3,21,ERK1 and ERK2 cascade,BP,Up
1376,GO:0006837,0.0330264,1,1,1,serotonin transport,BP,Up
3041,GO:0021941,0.0330264,1,1,1,negative regulation of cerebellar granule cell precursor proliferation,BP,Up
8321,GO:0090067,0.0330264,1,1,1,regulation of thalamus size,BP,Up
10973,GO:2001028,0.0330391,0.99747581,2,9,positive regulation of endothelial cell chemotaxis,BP,Up
128,GO:0000768,0.033553929,1,1,1,syncytium formation by plasma membrane fusion,BP,Up
8977,GO:0140253,0.033553929,1,1,1,cell-cell fusion,BP,Up
5992,GO:0048485,0.033587393,0.997410844,2,9,sympathetic nervous system development,BP,Up
5122,GO:0043534,0.033603655,0.997408908,2,9,blood vessel endothelial cell migration,BP,Up
611,GO:0002675,0.033697363,0.997466506,2,8,positive regulation of acute inflammatory response,BP,Up
2704,GO:0018272,0.033776358,1,1,1,protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine,BP,Up
5260,GO:0044524,0.033776358,1,1,1,protein sulfhydration,BP,Up
2477,GO:0015826,0.033858658,1,1,1,threonine transport,BP,Up
4171,GO:0034589,0.033858658,1,1,1,hydroxyproline transport,BP,Up
8716,GO:0098718,0.033858658,1,1,1,serine import across plasma membrane,BP,Up
9868,GO:1903812,0.033858658,1,1,1,L-serine import across plasma membrane,BP,Up
5467,GO:0045669,0.034085538,0.990911809,5,55,positive regulation of osteoblast differentiation,BP,Up
5506,GO:0045765,0.03415482,0.994740928,3,22,regulation of angiogenesis,BP,Up
8157,GO:0072376,0.03467329,1,1,1,protein activation cascade,BP,Up
5438,GO:0045626,0.034797544,1,1,1,negative regulation of T-helper 1 cell differentiation,BP,Up
9256,GO:1901387,0.034880984,0.99725521,2,9,positive regulation of voltage-gated calcium channel activity,BP,Up
1212,GO:0006566,0.034961528,1,1,1,threonine metabolic process,BP,Up
10089,GO:1904556,0.035046587,1,1,1,L-tryptophan transmembrane transport,BP,Up
4780,GO:0042246,0.035048062,0.997234869,2,9,tissue regeneration,BP,Up
8028,GO:0071888,0.03511078,1,1,1,macrophage apoptotic process,BP,Up
8005,GO:0071803,0.03529336,0.997146792,2,10,positive regulation of podosome assembly,BP,Up
4772,GO:0042176,0.03544157,0.994488384,3,21,regulation of protein catabolic process,BP,Up
6715,GO:0055091,0.035596934,0.997167661,2,9,phospholipid homeostasis,BP,Up
